,Order,MSE
0,"(3, 2, 0)",263612628.6570001
0,"(0, 2, 6)",297132184.20789
0,"(0, 2, 7)",301366425.8035455
0,"(1, 2, 6)",301402175.12325907
0,"(2, 2, 8)",302325829.5205458
0,"(3, 2, 1)",305187394.2934151
0,"(2, 2, 9)",306946022.5879191
0,"(2, 2, 4)",309550450.0778254
0,"(0, 2, 5)",310128857.6347574
0,"(0, 2, 4)",311822058.8420911
0,"(1, 2, 5)",313315737.9589604
0,"(1, 2, 4)",313438814.7062799
0,"(2, 2, 1)",313612972.69486415
0,"(2, 2, 7)",313737448.14353347
0,"(2, 2, 6)",314564630.29072154
0,"(1, 2, 7)",317644752.7373204
0,"(2, 2, 5)",319333232.9674924
0,"(0, 2, 11, 5)",320459673.05255204
0,"(1, 2, 3)",321326923.04788464
0,"(0, 2, 3)",322596571.08127433
0,"(1, 2, 2)",325864164.4312094
0,"(2, 2, 3)",328704326.5951886
0,"(1, 2, 11, 5)",342788522.8263569
0,"(2, 2, 1, 5)",349667947.60277903
0,"(0, 2, 7, 5)",357164064.3335562
0,"(1, 2, 1)",359439496.1593461
0,"(2, 2, 0)",366692828.39636964
0,"(0, 2, 8, 5)",371858556.50558454
0,"(1, 2, 6, 5)",420064805.18162566
0,"(1, 2, 7, 5)",429661104.54449993
0,"(0, 2, 10, 5)",431514836.0217409
0,"(1, 2, 8, 5)",439211450.94711226
0,"(0, 2, 5, 5)",441208216.39472944
0,"(1, 2, 5, 5)",441370164.2688587
0,"(2, 2, 6, 5)",443035727.289766
0,"(0, 2, 6, 5)",443196029.4423957
0,"(2, 2, 8, 5)",451813582.3178609
0,"(2, 2, 7, 5)",451901310.6838927
0,"(2, 2, 2, 5)",454003727.9939223
0,"(1, 2, 8)",454931420.692929
0,"(0, 2, 2)",470280021.2916285
0,"(1, 2, 9, 5)",474217002.91871905
0,"(0, 2, 8)",480398033.9116035
0,"(0, 2, 9, 5)",483764521.9954893
0,"(1, 2, 2, 5)",492223229.89838964
0,"(2, 2, 11, 6)",499112158.7639072
0,"(2, 2, 11, 5)",504300721.9960561
0,"(1, 2, 3, 5)",512878979.3952977
0,"(2, 2, 3, 5)",517966391.5100146
0,"(2, 2, 9, 5)",529065317.04153633
0,"(2, 2, 5, 5)",534225753.5719389
0,"(2, 2, 10, 5)",536198665.21318287
0,"(0, 2, 3, 5)",544569276.8065679
0,"(0, 1, 0)",550611456.5081987
0,"(1, 1, 6)",553832077.6546749
