,Order,MSE
0,"(0, 2, 0)",241707560.0639802
0,"(1, 2, 8, 7)",314860644.755689
0,"(1, 2, 10, 7)",325742955.96257025
0,"(1, 2, 8, 12)",337157175.19657993
0,"(1, 2, 9, 7)",339303401.63784057
0,"(1, 2, 7, 9)",341884897.5307448
0,"(1, 2, 8, 8)",346644278.9018362
0,"(1, 2, 9, 9)",347699120.8865269
0,"(1, 2, 9, 8)",348390198.5164508
0,"(1, 2, 9, 12)",349260203.2441456
0,"(1, 2, 11, 7)",354208554.4139656
0,"(1, 2, 10, 9)",357163126.95640945
0,"(1, 2, 7, 11)",362253728.67376924
0,"(1, 2, 8, 9)",365874571.72873795
0,"(1, 2, 11, 6)",368088491.3267272
0,"(0, 2, 8, 11)",368167467.97748417
0,"(0, 2, 8, 12)",368649877.362174
0,"(1, 2, 10, 8)",369737901.45970196
0,"(1, 2, 8, 10)",369812459.9542793
0,"(0, 2, 10, 9)",370633314.24746495
0,"(1, 2, 8, 11)",372669354.64462924
0,"(0, 2, 7, 12)",375274415.43182045
0,"(1, 2, 6, 12)",377523788.4345922
0,"(1, 2, 11, 8)",378019054.7674731
0,"(1, 2, 6, 11)",378564284.5333237
0,"(1, 2, 7, 10)",378566177.6842698
0,"(1, 2, 7, 12)",378574331.4187366
0,"(1, 2, 9, 10)",381108783.39935607
0,"(0, 2, 9, 10)",381135688.1890764
0,"(0, 2, 11, 6)",382257250.4648097
0,"(0, 2, 10, 7)",382313839.47060525
0,"(0, 2, 6, 12)",382544762.3955693
0,"(0, 2, 6, 11)",382552715.89013046
0,"(1, 2, 10, 6)",385626952.18614894
0,"(0, 2, 5, 12)",386461209.4095115
0,"(0, 2, 3, 12)",386666659.79121983
0,"(1, 2, 9, 11)",386700215.27471054
0,"(0, 2, 7, 11)",389203818.0711311
0,"(0, 1, 11)",394203095.1564507
0,"(0, 1, 10)",394559205.04163605
0,"(1, 1, 9)",394803743.3821992
0,"(1, 1, 8)",394880536.21243924
0,"(1, 1, 10)",395026403.67069876
0,"(1, 1, 11)",395205304.409978
0,"(1, 1, 7)",395456338.51325023
0,"(0, 2, 11, 8)",395559125.56959707
0,"(0, 2, 9, 11)",396715558.62919545
0,"(0, 1, 9)",396751231.60008
0,"(0, 2, 8, 9)",396834315.9058935
0,"(0, 2, 4, 12)",396925985.5573277
0,"(0, 2, 9, 7)",398730338.60926545
0,"(0, 1, 8)",399857829.7688807
0,"(0, 2, 11, 9)",400102785.6670178
0,"(0, 2, 7, 10)",401197635.9756763
0,"(0, 2, 7, 9)",403025248.29658467
0,"(0, 2, 9, 12)",403715618.6275666
0,"(1, 2, 7, 8)",404043248.42908335
0,"(0, 2, 5, 11)",404764460.8950649
0,"(0, 2, 9, 9)",405167224.3104174
0,"(0, 1, 7)",407899547.7630393
0,"(0, 2, 8, 10)",409268743.03939265
0,"(0, 2, 10, 10)",410082389.94414276
0,"(1, 1, 5)",410389363.0219775
0,"(0, 1, 3)",410656934.8074318
0,"(0, 1, 4)",410697130.8888668
0,"(0, 2, 9, 8)",410784999.5284814
0,"(1, 1, 4)",410835268.1510082
0,"(1, 1, 2)",411111725.96611184
0,"(0, 1, 5)",411203036.50364625
0,"(1, 1, 3)",411438739.88299537
0,"(1, 1, 1)",411517297.7419706
0,"(1, 1, 0)",411543723.8491449
0,"(0, 1, 2)",411634409.00317657
0,"(0, 1, 0)",411713504.08107674
0,"(0, 1, 1)",411872559.2339
0,"(0, 1, 6)",413340350.2654371
0,"(1, 1, 6)",413538229.45178705
0,"(1, 2, 4, 12)",414284454.9864014
0,"(1, 2, 3, 12)",415555149.36839473
0,"(0, 2, 8, 8)",416248690.81751275
0,"(1, 2, 11, 10)",416454590.8538053
0,"(0, 2, 4, 11)",417175882.4403865
0,"(1, 2, 10, 11)",417313776.5883245
0,"(0, 2, 11, 12)",419502510.58955544
0,"(1, 2, 2, 12)",419659281.36998475
0,"(0, 2, 10, 6)",421540567.3810973
0,"(0, 2, 6, 10)",422512290.6807971
0,"(0, 2, 2, 12)",424710809.1400274
0,"(1, 2, 4, 11)",431329094.63852274
