date,close,high,low,open,volume,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,HT_TRENDLINE,KAMA10,KAMA20,KAMA30,SAR,TRIMA5,TRIMA10,TRIMA20,ADX5,ADX10,ADX20,APO,CCI5,CCI10,CCI15,macd510,macd520,macd1020,macd1520,macd1226,MFI,MOM10,MOM15,MOM20,ROC5,ROC10,ROC20,PPO,RSI14,RSI8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ULTOSC,WILLR,ATR,Trange,TYPPRICE,HT_DCPERIOD,BETA
2015-02-01,131667.8738929244,131736.98882566585,131599.48970809794,131668.1768159806,849760.5698143664,131667.0096833466,131665.85696852306,131664.7490308492,131663.66681221416,131667.0024812222,131665.88495738505,131664.79239306465,131663.71813042756,131847.48055379794,131667.0096833466,131486.5388128953,131663.13161313237,131663.50629092203,131660.86938790837,131665.99363593475,130938.55524347593,131667.01964095596,131665.8572986858,131663.63888330176,3731.4114853186807,2682.918620548646,1959.3473504760764,3.016951886016331,-62.002768349638586,-111.22007961420279,-135.43397327594397,1.1175238371708338,3.284350794981468,2.1668273268531326,1.0742354645504142,2.996182085805177,4268.796095038913,4.511096314231907,6.589538606403013,8.704549367769706,0.1500186114390396,0.2882561450222409,0.5300933771079192,0.1415245103419687,4393.404538750071,4389.33144436771,4358.994898986131,4359.077772376101,4358.701495850596,4358.994898986131,4369.792460868044,4370.211788125349,4370.822832458376,-4384.216217069768,144.4756869773974,144.50476728544544,131668.11747556273,1839.8529026997053,31.824001418997007
2015-03-01,134028.823142048,134081.10596810255,133977.31102548816,134029.59168281412,804557.9145923386,134029.5954899387,134030.7558014609,134031.88408496033,134033.00307407952,134029.62539423496,134030.74752703015,134031.8711117575,134032.98402617604,134190.09111539234,134029.5954899387,133869.09986448506,134035.45218640182,134033.61398744737,134035.16846242792,134037.86376065208,129140.33678342526,134029.57433983413,134030.73991009846,134033.01373273533,3669.6106462333864,2647.460323556462,1950.16820051735,-3.146723249611804,-140.79435664440962,-230.33900603419707,-285.61516006995566,-1.1221327951701918,-3.3586319410788645,-2.2364991459086725,-1.1129144185226039,-3.0963046039921616,4218.914087166801,-4.460994186913101,-6.574549113131614,-8.978054851691756,0.018929498209368095,0.03254200383770598,0.05897281071437254,-0.248038325658559,4357.985357471633,4356.049214379508,4301.735192546723,4301.527189786487,4302.1793368263725,4301.735192546723,4363.101388396863,4362.729319524205,4348.1206187263815,-4452.319793682537,121.59249481888776,121.37173647339417,134029.0800452129,1847.4891851626078,37.169168580827616
2015-04-01,130197.04643810594,130262.5181368554,130134.75644513138,130198.8957172966,854084.5912603625,130198.95339103533,130201.23801447266,130203.5620455246,130205.91754152007,130198.93162650666,130201.25793815524,130203.58802832726,130205.90619629383,130364.56847575473,130198.95339103533,130033.33830631596,130207.16364575172,130202.94506330464,130210.38875099085,130212.46310647878,132638.84243501475,130198.95962726981,130201.25012813866,130205.88918099049,3793.877149214856,2742.131302260778,2012.6933838529528,-6.608337548369814,-80.70848948866922,-150.01053422599827,-196.46630996169586,-2.3263116485710422,-6.974569787159045,-4.648258138588003,-2.3181679665790282,-6.475592136344344,4224.001305472335,-9.26706898974287,-14.010574680342842,-18.821969931150768,-0.1286743289026253,-0.25874219797654735,-0.5419556613474106,-0.22647539813340598,4371.688164545356,4370.716351991267,4287.780193062033,4287.653192047977,4287.911011177743,4287.780193062033,4368.201792394752,4368.153464011341,4304.140517424326,-4455.3242606466365,134.34544242344737,134.302776450752,130198.10700669757,1851.9134503226287,31.989808721094207
2015-05-01,128641.94694239524,128704.62862031077,128580.17247998745,128641.30745094961,813595.2090723591,128640.90575043113,128639.56705054177,128638.12501721327,128636.60576039851,128640.89111589384,128639.48947675341,128638.02673086282,128636.55686710282,128819.51094879083,128640.90575043113,128462.30055207147,128637.02684582812,128612.88548657049,128586.72559297699,128554.75068451211,139696.26772092292,128640.89713879969,128639.58745519126,128636.68176363385,3811.198281371164,2761.1529158253743,2045.0811444432773,4.284168075747638,22.478127142585382,20.021426454217707,35.6774018356372,1.4016391404463544,4.3342487910234695,2.9326096505771146,1.469863759994283,4.091219577173231,4269.611229782642,5.460411238424112,8.605818552817457,11.894710406529589,-0.2139883753715146,-0.12901414900231575,0.1243144025576756,0.13755731199649043,4416.900142571261,4416.90552786418,4388.4853544461075,4388.47054444113,4388.429700752273,4388.4853544461075,4389.267705741231,4389.252259869927,4405.356948590388,-4329.490573325456,138.81322252923775,138.91440904096706,128642.24934756449,1825.8007139464294,30.230550872717373
2015-06-01,124701.62993801653,124762.71115580943,124642.03153986388,124702.13981283423,726777.4251336899,124701.58471098612,124702.16186910574,124702.90703443521,124703.71055791187,124701.73718766545,124702.31165774014,124703.02215994152,124703.7688256787,124942.86388645925,124701.58471098612,124460.305535513,124708.30414493414,124602.8421036774,124484.83351885647,124377.65872835182,141632.93378585315,124701.55193938712,124702.05676364341,124703.61486892114,3795.2915123231974,2734.195096950715,1999.7271673278133,-2.2270225260130885,-13.495481092165052,-44.29065906788739,-65.734422277174,-0.5744700746741522,-2.031638013237214,-1.4571679385630587,-0.7466657371796487,-2.086395677732692,4233.791021551233,-2.088635148274186,-3.8086448711716145,-5.4358969372873105,-0.8122112129071657,-0.9751434071558824,-1.1618451344671863,-0.2525399792669668,4398.512747041018,4397.822018503232,4338.968345673193,4338.54222823597,4339.475234754035,4338.968345673193,4373.056603596941,4372.560457859272,4348.660056849072,-4395.651028849034,159.28773483384504,158.11656781720976,124702.12421122995,1817.5458482432646,29.93297889885937
2015-07-01,130985.22093645485,131040.02137257525,130930.46976989966,130986.48093244148,762808.2515050167,130984.36292494916,130983.22891625446,130982.12446617609,130980.99606862862,130984.35258025394,130983.22567486468,130982.06908147075,130980.88543423948,131135.9818341433,130984.36292494916,130832.744015755,130979.60784599344,130971.84473076604,130956.62271130922,130940.74313344431,139734.67937525082,130984.36100021479,130983.23249007763,130981.00258266131,3844.3126041182045,2776.593505795459,2046.1106836454876,3.2220977621260305,-70.29076301996167,-153.10100570910348,-187.7701756585152,1.1269053892746588,3.4671460144765174,2.340240625201858,1.1836472312757909,3.3254507681383134,4250.182200067791,4.460634113712375,6.669672240802675,9.12372441471572,-0.07949902783615377,0.008733583960132692,0.18919968406340265,0.053771216576309816,4387.415884084571,4384.5505633947505,4384.269801971699,4384.654466999758,4383.771869650066,4384.269801971699,4385.934296160347,4386.653285609557,4387.221817755934,-4365.359368653315,119.02463055037316,117.85738193979954,130985.23735964326,1826.8236207038924,29.085685058895514
2015-08-01,132404.63515906478,132477.29836591287,132332.64937396193,132405.60315191007,1078419.50044717,132406.5574242999,132408.79283416408,132411.00541493113,132413.20461549753,132406.5107131588,132408.73936774317,132410.86004830734,132412.90567409704,132591.95794463274,132406.5574242999,132221.1569039671,132414.15875535042,132406.9311464861,132408.00522075756,132406.54011081895,138996.13482815895,132406.54145030925,132408.84954739854,132413.2289574715,3795.0751169121204,2741.1047931482813,2018.1985199884052,-5.947005581637205,-128.36243717348245,-229.26190800507086,-304.80831721989716,-2.2286545843570282,-6.394960938225471,-4.166306353868443,-2.045625789670254,-5.706424805547646,4214.962123886997,-8.8518960010221,-13.668616328095059,-17.495279161875562,-0.28871214731697153,-0.549022561882106,-1.1071349637985415,-0.4423447301431876,4360.541469447757,4360.445359170108,4355.678381045204,4355.965608603862,4355.609454646029,4355.678381045204,4371.70515165899,4371.472828640794,4390.344199907371,-4411.172377393393,150.95353669187688,149.8441075763385,132404.8609663132,1835.976277585045,31.861059894049877
2015-09-01,123502.98699009568,123575.87210172904,123431.23786133961,123503.72847070673,944179.0386100386,123503.65292630474,123504.33888148428,123505.45680085052,123506.73780669791,123503.64720979158,123504.60550303767,123505.82490960455,123507.20787849401,123684.5861030008,123503.65292630474,123322.71974960869,123509.70546160295,123508.78676928183,123511.68749249938,123511.70383936614,134444.72164512338,123503.69887570498,123504.2418126094,123506.53182732873,3805.4887036517384,2762.0598388834424,2043.3173334440373,-3.7432795930528022,-16.769922015705358,-33.73129413414332,-50.60397684873699,-0.9582932460910458,-3.560668702439129,-2.602375456348083,-1.382968889472186,-3.939839885174201,4243.975825686134,-3.62450730233339,-6.308108108108107,-9.62092664092664,0.0061855406973590115,-0.05350342965087929,-0.19820483423254556,-0.24826978776729716,4390.731957817968,4393.327990674948,4359.00483823255,4360.3012409241255,4357.658515925716,4359.00483823255,4376.847897578768,4379.008484491633,4384.662185318242,-4392.852091735905,151.29217808126148,149.71454759106962,123503.36565105477,1842.1821292764203,30.74977556299125
2015-10-01,128164.99067643895,128221.38682759547,128111.69409359872,128166.2274098978,836484.7198762776,128165.18531737447,128164.98723211433,128164.44189465657,128163.86255896978,128165.10406533953,128164.77224304373,128164.25972727902,128163.65842375069,128297.16679118702,128165.18531737447,128033.20384356195,128162.13926866617,128168.33614366864,128171.70072754429,128172.32701236446,127963.0623197956,128165.21383569797,128165.06556374388,128163.98645617775,3827.600582272346,2753.39673575087,2015.2420557159776,1.7013855417813823,-143.44503343180187,-244.53411393653988,-310.2537073205987,0.33182229580749,1.4456415888481216,1.1138192930406314,0.6013035283311108,1.726534565770161,4247.545509240475,1.0091258741258742,2.4175564819795614,3.648683431952663,0.007450661684305714,0.12209447530556344,0.39901196238089987,0.15146421066402535,4376.012825737096,4367.970615056484,4317.083137148888,4317.736385071727,4316.147001286721,4317.083137148888,4360.524584847685,4361.493785074984,4326.464294892776,-4414.843409395537,115.1855055573093,112.82920925228646,128166.02386587772,1817.4576825475003,28.520498677611307
2015-11-01,122885.38245965596,122939.2549104451,122833.70313353432,122885.90791452385,814583.271324703,122887.21031282101,122889.34405142785,122891.59050280772,122893.84754779204,122887.2037166341,122889.39236402152,122891.58681702809,122893.76608284241,123019.84371779664,122887.21031282101,122754.57690784542,122896.50528933453,122892.39963257537,122897.96222176951,122899.39108646355,128725.99174321687,122887.24713685308,122889.31498276953,122893.81345063703,3905.54495556688,2825.8775682772075,2085.4735157663154,-6.275441362503927,-112.42601200465309,-141.4492539457967,-154.49156878922642,-2.188647387427492,-6.562366208336013,-4.373718820908521,-2.1792658143424766,-6.100242602906538,4231.29980823659,-8.864059230359992,-13.463977655612698,-17.948386238694802,-0.04946738109517909,-0.08298352381252731,-0.16361138332139666,-0.0816642192985307,4382.5752253618275,4377.722911349586,4286.932384338759,4287.546917991647,4285.701000838507,4286.932384338759,4330.601053812436,4332.348870357429,4359.293363147217,-4439.489334056504,111.29382811524734,108.91176095052336,122886.11350121179,1833.3931729907576,27.029350650924503
