Date,Open,High,Low,Close,Adj Close,Volume
2007-02-09,11.000000,12.120000,10.500000,11.900000,11.900000,3146700
2007-02-12,11.850000,12.450000,11.400000,11.840000,11.840000,346400
2007-02-13,11.950000,12.030000,11.590000,11.920000,11.920000,123700
2007-02-14,11.900000,11.900000,11.600000,11.600000,11.600000,75000
2007-02-15,11.830000,11.830000,11.400000,11.600000,11.600000,188000
2007-02-16,11.600000,11.710000,11.450000,11.610000,11.610000,352600
2007-02-20,11.550000,12.610000,11.550000,12.450000,12.450000,153200
2007-02-21,12.520000,12.600000,12.200000,12.490000,12.490000,118300
2007-02-22,12.500000,12.600000,11.900000,12.330000,12.330000,67700
2007-02-23,12.280000,12.280000,11.990000,12.060000,12.060000,40500
2007-02-26,12.220000,12.220000,11.820000,11.960000,11.960000,32100
2007-02-27,11.910000,12.190000,11.500000,11.510000,11.510000,34400
2007-02-28,11.510000,11.860000,11.500000,11.640000,11.640000,14500
2007-03-01,11.550000,11.570000,10.680000,11.200000,11.200000,174700
2007-03-02,11.250000,11.680000,11.250000,11.350000,11.350000,75500
2007-03-05,11.350000,11.500000,11.080000,11.280000,11.280000,31400
2007-03-06,11.050000,11.350000,10.620000,10.900000,10.900000,140500
2007-03-07,10.920000,11.330000,9.940000,11.250000,11.250000,537500
2007-03-08,11.480000,11.480000,10.820000,10.990000,10.990000,32800
2007-03-09,10.920000,11.080000,10.910000,11.020000,11.020000,202900
2007-03-12,11.000000,11.100000,11.000000,11.000000,11.000000,69100
2007-03-13,10.990000,11.150000,10.800000,10.960000,10.960000,59200
2007-03-14,10.960000,11.040000,10.770000,10.940000,10.940000,132200
2007-03-15,11.000000,11.040000,10.920000,10.940000,10.940000,48000
2007-03-16,10.930000,11.030000,10.670000,10.880000,10.880000,51300
2007-03-19,11.030000,11.030000,10.600000,10.820000,10.820000,142100
2007-03-20,10.620000,11.380000,10.600000,11.070000,11.070000,182700
2007-03-21,5.720000,6.850000,5.460000,6.490000,6.490000,18331500
2007-03-22,6.550000,6.750000,6.260000,6.300000,6.300000,2240600
2007-03-23,6.360000,6.360000,5.950000,6.080000,6.080000,1039800
2007-03-26,5.960000,6.000000,5.570000,5.660000,5.660000,989000
2007-03-27,5.550000,5.770000,5.340000,5.430000,5.430000,1012400
2007-03-28,5.380000,5.700000,5.340000,5.390000,5.390000,844400
2007-03-29,5.300000,5.440000,5.070000,5.120000,5.120000,753900
2007-03-30,5.140000,5.610000,5.090000,5.370000,5.370000,2327300
2007-04-02,5.340000,5.620000,5.340000,5.510000,5.510000,477000
